product_id,product_name,cost,manufacturing_date,warranty_period_months,end_of_life_date,product_service_cost
1,Dell Laptop X12 Model,78390,2022-08-02,36,2027-08-01,3137.15
2,Lenovo Laptop 324 Model,154568,2023-02-27,36,2028-02-26,8463.01
3,MacBook M2 Model,259943,2020-04-02,36,2025-04-01,11062.76
4,HP Book 2.0 Model,43000,2019-07-29,36,2024-07-27,3908.83
5,Boat Wired Headset,2543,2022-01-21,12,2025-01-20,96.19
6,JBL Wireless Headset,23853,2021-05-14,24,2025-05-13,783.82
7,Mouse,463,2019-07-11,12,2022-07-10,23.0
8,Keyboard,1230,2021-10-31,12,2024-10-30,103.54
9,Laptop Bag,672,2022-02-23,12,2025-02-22,32.19
10,Wired Headset Cushion,40,2022-08-23,6,2025-02-20,3.72
11,Wireless Headset Cushion,1230,2021-05-09,12,2024-05-08,61.3
12,HDMI to VGA Connector,321,2022-04-21,12,2025-04-20,17.67
13,Power Cable,260,2023-11-16,12,2026-11-15,7.95
14,VGA Connector,135,2023-07-09,12,2026-07-08,5.99
15,Laptop Stand,490,2021-05-15,24,2025-05-14,29.71
16,Laptop Charger,1500,2019-11-15,24,2023-11-14,74.07
17,LAN Cable,580,2023-04-13,12,2026-04-12,34.97
18,LAN Adapter,320,2019-07-09,12,2022-07-08,20.54
